"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"Restaurant Ratsstuben","4.5","1064","€20–30","Bernhäuser Str. 16","Leinfelden-Echterdingen","Restaurant","16","Not too busy"
"Weinstube Kachelofen","4.5","1853","€20–30","Eingang, Eberhardstraße, Töpferstraße 10","Stuttgart","Swabian restaurant","13","Not too busy"
"Mauritius Restaurant Stuttgart-Mitte","4.1","2645","€20–30","Börsenplatz 1","Stuttgart","Restaurant","7","Not too busy"
"Ochs'n Willi","4.4","5556","€20–30","Kleiner Schloßplatz 4","Stuttgart","Restaurant","5","A little busy"
"Restaurant Tauberquelle","4.4","1271","€20–30","Torstraße 19","Stuttgart","Restaurant","6","Not too busy"
"Valle","4.5","2994","€20–30","Geschwister-Scholl-Straße 3","Stuttgart","Italian restaurant","4","Less busy than usual"
"Platzhirsch","4.3","1115","€10–20","Geißstraße 12","Stuttgart","Restaurant","8","Not too busy"
"tobi’s Restaurant","4.3","1275","€10–20","Bolzstraße 7","Stuttgart","Swabian restaurant","2","Less busy than usual"
"lions","4.9","142",,"Feuerbacher Heide 19","Stuttgart","Restaurant","1",
"Landgasthof & Landpension Hohenkirchen","4.5","244","$62","Mittelröder Weg 4","Georgenthal","Hotel","20",
"Räucherscheune","4.6","1710","€10–20","Bövergeest 71a","Sankt Peter-Ording","Seafood restaurant","69","Less busy than usual"
"Fischgaststätte Zur Quelle","4.6","61","€20–30","Schweizer Str. 30","Friedrichroda","Restaurant","131",
"Berggasthof Stöhr","3.8","1002","€10–20","Großer Inselsberg 1","Brotterode-Trusetal","German restaurant","156",
"Der Eisbahnhof","5","4","€1–10","Bahnhofstraße 45 a","Floh-Seligenthal","Sundae restaurant","155",
"Waldbaude am Staudamm","4.8","381","€10–20","Hammerweg","Luisenthal","Beer garden","153",
"Ristorante Paradiso","4","950","€10–20","Schönauer Str. 4","Georgenthal","Italian restaurant","152",
"Paradise Beach","4.8","30","€1–10","Gothaer Str. 21 g","Ohrdruf","Bar","151",
"Gaststätte Kranichmoor - Markus Barthel","4.6","424","€20–30","Brühlstraße 15","Georgenthal","Restaurant","140",
"Bäckerei Scheidig","4.3","281","€1–10","Dr.-Theodor-Neubauer-Straße 8","Oberhof","Bakery","149",
"„Air Cafeteria“ Irina Romanenko","4.6","10","€1–10","Grenzweg 1","Schmalkalden","Cafeteria","147",
"Kleine Urlaubsinsel","5","4",,"Forsthaus am Steiger 2","Georgenthal","Mobile home rental agency","154",
"Raststätte Asbacher Straße","4.5","137","€1–10","An d. Asbacher Str. 4","Schmalkalden","Cafeteria","150",
"Pinguin Eiscafé - Thomas Pfestorf","4.8","276","€1–10","Spitterstraße 28b","Tambach-Dietharz","Ice cream shop","145",
"Kurti’s Baude","4.4","86","€1–10","Ebertswiese","Floh-Seligenthal","Snack bar","144",
"Hüllrod Restaurant & Café","4.6","167","££","Am Hüllrod 11","Friedrichroda","Restaurant","148",
"Campingplatz Paulfeld & Gaststätte Paulfeld-Baude","4.7","805",,"Straße am Steinbühl 3 Ortsteil","Georgenthal","Campground","142",
"Pension | Restaurant | Ferienwohnung | Hotel Pfefferstübchen","4.6","516","£89","Höhstraße 32","Brotterode-Trusetal","Hotel","141",
"Berggasthaus Fuchsbau Mommelstein","4","132",,"Am Mommelstein 1","Brotterode-Trusetal","Restaurant","146",
"Kur- und Lesecafe","4.6","399","€1–20","Kirchgasse 2","Friedrichroda","Ice cream shop","137",
"Gasthaus Zur Alten Erbförsterei","4.1","7",,"Dörrberg 3","Geratal","Restaurant","136",
"MC Döner","4.2","283","€1–10","Hauptstraße 58","Friedrichroda","Kebab shop","135","Less busy than usual"
"Imbiss an der Lütsche","4.4","10","€1–10","Am Stausee 2","Geratal","Snack bar","143",
"Pension Zum Ratsherrn","4.3","85","$83","Tabarzer Str. 15","Friedrichroda","Restaurant","139",
"Waldgasthaus ""Sankt Marien""","3.8","249","€20–30","An der Marienglashöhle 1","Friedrichroda","Restaurant","132",
"Waldschänke Dreiherrnstein","4.4","441",,"Dreiherrnstein 1","Brotterode-Trusetal","Restaurant","130",
"Bistro-Imbiss-Eck Ernst","4.5","105","€1–10","Gothaer Str. 1","Georgenthal","Bistro","129",
"Imbiss Ludewig - Timo´s Schnitzelranch","4.7","80","€1–10","Westfalenstraße 4","Ohrdruf","Snack bar","138",
"China-Thai-Wok","4.4","369","€10–20","Renthofstraße 8","Schmalkalden","Asian restaurant","128",
"Schmalkalder Stadtgrill - Zur Krone","4.7","52",,"Altmarkt 9","Schmalkalden","Snack bar","127",
"Berggasthof Queste","4.6","512",,"Questenweg 5","Schmalkalden","German restaurant","126",
"China Restaurant Jade","4.4","400","€10–20","Bahnhofstraße 2","Georgenthal","Asian restaurant","124",
"Restaurant Zwergenschänke","1.6","5",,"Brotteroder Str. 55","Brotterode-Trusetal","Restaurant","134",
"Imbiss ""Zur Wallfahrt am Rennsteig""","4.4","433","€1–10","Glasbachstraße","Bad Liebenstein","Snack bar","133",
"Hirzbergbaude","4.6","183","€20–30","Am Hirzberg-Bungalow 48","Herrenhof","Restaurant","122",
"Schweizer Haus","4.7","1222","€10–20","Düsternbrook 10","Tating","Cafe","90",
"Strandbar 54° Nord","4.6","2575","€10–20","Strandweg 999","Sankt Peter-Ording","Restaurant","89",
"Pension & Restaurant Sächsischer Hof in Ohrdruf","4.1","210",,"Marktpl. 9","Ohrdruf","German restaurant","125",
"The Waffelstube","4.4","633","€1–10","Dorfstraße 8","Tating","Cafe","87",
"SPOntan Snack","4.8","57","€1–10","Nordergeest 5","Sankt Peter-Ording","Snack bar","88",
"LOTTI am Südstrand","4.2","666","€10–30","Am Südstrand","Sankt Peter-Ording","Restaurant","86",
"Hotel Spießberghaus","4.1","380","$83","Hotel&BerggasthofSpiessberghausamRennsteigZurWacht3 4","Friedrichroda","Hotel","121",
"Wattwurm",,"0",,"Im Bad 38","Sankt Peter-Ording","Restaurant","85",
"Strandfutter Food Truck","3.2","11",,"Strandweg 11","Sankt Peter-Ording","Seafood restaurant","84",
"Heimateck","4.2","65","€10–20","Gothaer Str. 41","Floh-Seligenthal","Restaurant","123",
"Am Kamin","4.1","908","€20–30","Dorfstraße 12","Sankt Peter-Ording","Restaurant","81",
"Kiek in","4.3","706","€20–30","Olsdorfer Str. 3","Sankt Peter-Ording","Restaurant","82",
"Restaurant Wallenburger Eck","4.7","113",,"Schenkgasse 1","Trusetal","Restaurant","118",
"Waldgaststätte Wechmarer Hütte","4.5","324","€10–20","Wechmarer Hütte 1","Georgenthal","Thuringian restaurant","119",
"Viba Nougat-Welt","4.5","5821","€10–20","Nougat-Allee 1","Schmalkalden","Confectionery store","117",
"Wirtshaus Im Ehrental","4.5","589","€10–20","Wirtshaus im Ehrental, Ehrental 1","Schmalkalden","German restaurant","116",
"Bistro KRÖNCHEN","4.3","27","€1–10","Bahnhofstraße 38","Georgenthal","Snack bar","115",
"Waldgaststätte Scherershütte","4.6","444","€10–20","Scherershüttenstraße 25","Ohrdruf","Restaurant","114",
"Landgasthof ""Zur Guten Quelle""","4.7","374",,"Breitunger Str. 6","Bad Liebenstein","Restaurant","113",
"Gaststube ""Zum Kirchhof""","4.6","283","€10–20","Kirchhof 14","Schmalkalden","German restaurant","112",
"EscoBar Wernshausen","4.8","30","€10–20","Am bhf 1c","Schmalkalden","Hamburger restaurant","110",
"Fantasia Pizza Kebab Haus","4.1","150","€1–10","Am Pulverturm 10","Schmalkalden","Pizza Takeout","108","Now: Usually not too busy"
"Luigo Pandolfo","4.4","88",,"Badallee 8","Sankt Peter-Ording","Italian restaurant","83",
"McDonald's","3.9","1298","€1–10","Am Schwimmbad 9","Schmalkalden","Fast food restaurant","120","A little busy"
"Gaststätte Kauzeneck","4.3","432","€10–20","BreitscheidStraße 1","Oberhof","Restaurant","106",
"Gasthof Zur Aue","4.4","810",,"Herrenhöfer Allee 32","Herrenhof","German restaurant","111",
"Restaurant Grünes Tor Zum Hopfengarten","4.6","597","€20–30","Weidebrunner G. 12","Schmalkalden","Restaurant","105",
"Bergmannsklause Zum Arschleder","4.6","258","€10–20","Inselbergstraße 26","Bad Liebenstein","Beer garden","103",
"Restaurant Musik-Cafe ""FLY-IN""","4.4","602",,"Ernst-Thälmann-Straße 2A","Schmalkalden","Restaurant","109",
"Gaststätte Zum Candelaber","4.3","27","€10–20","Zum Denkmal 10","Georgenthal","Restaurant","102",
"Gaststätte Feldschlößchen","4.7","106","€10–20","Bahnhofstraße 38","Floh-Seligenthal","German restaurant","107",
"Cino Pizza","4","233","€1–10","Am Gries 9","Schmalkalden","Restaurant","101","Now: Usually not too busy"
"Dorfbäckerei Siercks","4.4","656","€1–10","Dorfstraße 7","Sankt Peter-Ording","Bakery","79",
"Das Frühstückshotel SPO","4.5","639","$77","Waldstraße 19-21","Sankt Peter-Ording","Hotel","78",
"Gaststätte Turmbaude","4.7","163","€10–20","Am Turm 1","Brotterode-Trusetal","Thuringian restaurant","104",
"Kalle-Bäcker","4.2","770","€1–10","Im Bad 14","Sankt Peter-Ording","Bakery","76",
"ambassador hotel & spa","4","852","$137","Im Bad 26","Sankt Peter-Ording","Wellness hotel","75",
"Restaurant Meeresbrise","4.4","1064","€20–30","Im Bad 17","Sankt Peter-Ording","Restaurant","74",
"EAT HAPPY",,"0",,"Dreilanden 7b","Sankt Peter-Ording","Sushi takeaway","72",
"Pension Haus Mö","4.9","103",,"Im Bad 66","Sankt Peter-Ording","Guest house","73",
"GOSCH · De Lütte GOSCH","3.7","760","€10–20","Am Kurbad 1","Sankt Peter-Ording","Seafood restaurant","71","Now: Usually not too busy"
"STiLBRUCH","4.5","472","€20–30","Am Kurbad 1","Sankt Peter-Ording","Restaurant","77",
"Tamatsu SPO","4.2","333",,"Dorfstraße 10","Sankt Peter-Ording","Fusion restaurant","68","Now: Usually a little busy"
"Salt & Silver am Meer","4.2","1132","$$$","Zum Böhler Strand","Sankt Peter-Ording","Restaurant","80",
"Restaurant ""Mein Steakhouse"" - Sankt Peter-Ording","4.2","664","€30–40","Bövergeest 15","Sankt Peter-Ording","Steak house","67",
"Gaststätte Naske Pük","4.1","131","€10–20","Wohldweg 6","Sankt Peter-Ording","Restaurant","65",
"Pizzeria Da Gigi SPO","4.4","1474","€20–30","Badallee 8","Sankt Peter-Ording","Italian restaurant","64","Not busy"
"Nordsinn GmbH",,"0",,"Dorfstraße 12","Sankt Peter-Ording","Restaurant","70",
"Restaurant Buongiorno St. Peter Ording","4.1","964","€20–30","Wittendüner Geest 1","Sankt Peter-Ording","Italian restaurant","62",
"Pizzeria Picobello","4.3","260","€1–10","Marktpl. 22","Ohrdruf","Pizza restaurant","100","Now: Usually a little busy"
"Olympia bei Georgios","4.4","845","€20–30","Badallee 33","Sankt Peter-Ording","Greek restaurant","66",
"El Gozo SPO","4.6","111","€20–40","Badallee 28","Sankt Peter-Ording","Restaurant","63",
"Indisches Restaurant Goa Tandoori","4.4","290","€10–20","Am bhf 1","Ohrdruf","Indian restaurant","98",
"Welat Grill","4.3","151","€1–10","Tambacher Str. 36","Floh-Seligenthal","Grill","97","Now: Usually a little busy"
"Eiderstedter Krog","4.7","858","€20–30","Dorfstraße 17","Tating","Restaurant","61",
"Hotel Thüringenschanze","4.2","572","£83","Dr.-Theodor-Neubauer-Straße 19","Oberhof","Hotel","96",
"Wirtshaus Mausefalle","4.5","404","€20–30","Unterm Sandberg 25","Bad Liebenstein","Restaurant","94",
"Gasthaus am Waldbad","4.5","116","€10–20","Kisseler Str. 68","Schweina","German restaurant","99",
"Pizza & Grillhaus Jiber - Sinan Kart","4.3","173","€10–20","Hohenlohestraße 4","Ohrdruf","Restaurant","92",
"MEERSATT - Café & Bar","4.7","649","€10–20","Eiderweg 1","Sankt Peter-Ording","Cafe","60",
"Pizzeria Dai Siciliani","4.4","152","$","Weidebrunner G. 7","Schmalkalden","Pizza restaurant","91","Now: Usually not too busy"
"Olsdorfer Krug","4.5","936","€20–30","Olsdorfer Str. 13","Sankt Peter-Ording","Restaurant","59",
"Hotel & Restaurant Rodebachmühle","3.9","524","$102","Rodebachmühle 1","Georgenthal","Hotel","95",
"Gasthaus Zur Wegscheide","4.1","1720",,"Siegelbachstraße 41, Zwischen Oberhof u.Luisenthal L 3247.","Luisenthal","Restaurant","90",
"Restaurant Teichhotel","4.5","361","$97","Teichstraße 21","Schmalkalden","Restaurant","89",
"TWILLING | SPO","4.5","448","$58","Strandweg 10","Sankt Peter-Ording","Hotel","57",
"Hotel & Restaurant ""Kleiner Inselsberg"" Renate Baumbach","3","320",,"Kleiner Inselsberg 1","Brotterode-Trusetal","Hotel","88",
"Waldschlösschen","4.4","215","$127","Gehegsweg 12","Kurort Brotterode","Hotel","93",
"Restaurant Paxa’rito","4.8","213","€30–40","Feldhausweg 14","Sankt Peter-Ording","Restaurant","56",
"Strandcreperie, Inhaber Timm Clausen","4.6","95","€1–10","Am Kurbad 1","Sankt Peter-Ording","Creperie","58",
"Ristorante - Cafe - Pizzeria Strand No.1","4.5","991","€30–40","Strandpromenade 1","Sankt Peter-Ording","Restaurant","55",
"Hotel & Berggasthof ""Tanzbuche""","4.2","839","$125","Auf dem Höhenberg","Friedrichroda","Hotel","84",
"Pizzeria bei Alfred","4.4","723","€10–20","Kirchenleye, Eingang, Badallee 38-40","Sankt Peter-Ording","Pizza Takeaway","54","Less busy than usual"
"Gasthaus zum Paradies","4.6","79","€20–30","Talstraße 34","Georgenthal","Restaurant","82",
"Beim Waldschrat","4.7","1307","€20–30","Theo-Neubauer-Straße 17a","Oberhof","Restaurant","85","Less busy than usual"
"STRANDHOTEL St. Peter-Ording","4.7","669",,"Im Bad 16","Sankt Peter-Ording","Hotel","52",
"K2 Pizzeria","4.3","171","€1–10","Nentershäuser Str. 17","Brotterode-Trusetal","Pizza restaurant","81","Now: Usually a little busy"
"Café & Restaurant Waldschlösschen","4.8","1307","£66","Café Waldschlösschen, Im Grund 4","Friedrichroda","Restaurant","87",
"Felix Bar","4.8","239","€20–30","Martendorf 4","Tating","Cocktail bar","49",
"Wanlik-Hues","4","526","€20–30","Dorfstraße 27","Sankt Peter-Ording","Restaurant","48","Now: Usually a little busy"
"Bistro Indoorspielscheune Café",,"0",,,"Tating","Restaurant","50",
"Open County","4.7","177",,"Martendorf 23","Tating","Golf course","47",
"PETER PANE Burgergrill & Bar","4.3","414","€20–30","Im Bad 25","Sankt Peter-Ording","Hamburger restaurant","46",
"DAS KLEINE Restaurant griechische Spezialitäten","4.6","530","€20–30","Im Bad 12","Sankt Peter-Ording","Greek restaurant","43","Less busy than usual"
"Sandperle","3.9","32",,"Im Bad 26","Sankt Peter-Ording","Restaurant","45",
"Ferdi's Imbiss und Crêpes","4.5","70","€1–10","Am Kurbad 9","Sankt Peter-Ording","Restaurant","41","Now: Usually not too busy"
"Landhaus Falkenstein Hotel & Restaurant","4.5","310","$91","Bahnhofstraße 14","Tambach-Dietharz","Hotel","86",
"Asia Mei","4.1","284","€20–30","Am Kurbad 17","Sankt Peter-Ording","Restaurant","40","Now: Usually a little busy"
"Ahoi Steffen Henssler St. Peter Ording","4.5","407","€20–30","Fritz-Wischer-Straße 1","Sankt Peter-Ording","Restaurant","28","Now: Usually as busy as it gets"
"Sebo´s Kombüse","4.1","1020","€20–30","Im Bad 37","Sankt Peter-Ording","Restaurant","20","Now: Usually a little busy"
"Pizzeria La Piazzetta bei Toni","3.9","618","€10–20","Dorfstraße 20","Sankt Peter-Ording","Pizza restaurant","42","Now: Usually as busy as it gets"
"Restaurant Arche Noah","4.3","2177","€10–30","An der Seebrücke","Sankt Peter-Ording","Restaurant","18","Not busy"
"SPO Fischhaus","4.2","1335","€20–30","Dorfstraße 29","Sankt Peter-Ording","Restaurant","16","Less busy than usual"
"Hedwig´s Esszimmer","4.4","16",,"Friedrich-Hebbel-Straße 2","Sankt Peter-Ording","Restaurant","37",
"Strandbude 31","4.1","627","€20–30",,"Sankt Peter-Ording","Restaurant","15","Less busy than usual"
"Taverna Rhodos","4","788","€20–30","Alter Badweg 7","Sankt Peter-Ording","Greek restaurant","19","Now: Usually a little busy"
"Böhler Landgang","4.7","632","€20–40","Böhler Landstraße 153","Sankt Peter-Ording","German restaurant","13","Less busy than usual"
"Deichreiter","4.7","117",,"Südstrand 11","Sankt Peter-Ording","Restaurant","11",
"Ratskeller","4.1","279","€20–30","Altmarkt 2","Schmalkalden","Restaurant","80",
"GOSCH St. Peter-Ording Buhne 1","4","8574","€10–20","Buhne 1","Sankt Peter-Ording","Seafood restaurant","17","Less busy than usual"
"Irodion - Anastasios Nasios","4.5","539","€20–30","Herzog-Georg-Straße 22","Bad Liebenstein","Greek restaurant","79",
"Am Sommerdeich","4.9","102",,"Dorfstraße 5","Sankt Peter-Ording","Restaurant","10",
"Fisch und Mee(h)r Imbiss","4.5","1309","€10–20","Im Bad 38","Sankt Peter-Ording","Snack bar","9","Less busy than usual"
"Asia for You & Sushi","4.2","82","€10–20","Marktpl. 20","Ohrdruf","Asian restaurant","78","Now: Usually not too busy"
"SEN Restaurant","4.7","718","€20–30","Herzog-Georg-Straße 16","Bad Liebenstein","Restaurant","77",
"Olis Imbiss-Treff","4","70","€10–20","An d. Gasanstalt 1","Friedrichroda","Snack bar","76","Now: Usually not too busy"
"Grill Restaurant","4.2","22",,"Friedrich-Hebbel-Straße 2","Sankt Peter-Ording","Restaurant","14",
"Restaurant Lütschesee","4.6","41","€10–20","Am Stausee 9","Geratal","Western restaurant","75",
"HANSEN","4.7","249","€20–30","Dorfstraße 12A","Sankt Peter-Ording","Restaurant","7","Less busy than usual"
"Frieseneck","4.1","1115","€20–30","Dorfstraße 23","Sankt Peter-Ording","Restaurant","6","Now: Usually as busy as it gets"
"Brauhaus Friedrichroda","4.7","565","€20–30","Bachstraße 14","Friedrichroda","Beer hall","74","Not busy"
"Wirtshaus dorf acht","4.2","1300","€20–30","Dorfstraße 8","Sankt Peter-Ording","Restaurant","8","Less busy than usual"
"Pasquale La Trattoria","4.5","2509","€10–20","Am Kurbad 3","Sankt Peter-Ording","Italian restaurant","4","Less busy than usual"
"Café Altenstein","4","253","€10–20","Altenstein 6","Bad Liebenstein","Restaurant","73",
